"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"MQY","Blackrock MuniYield Quality Fund, Inc.","15.03","$461.61M","1992","n/a","n/a","https://old.nasdaq.com/symbol/mqy",
"BNY","BlackRock New York Investment Quality Municipal Trust Inc. (Th","13.92","$180.63M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bny",
"BQH","Blackrock New York Municipal Bond Trust","15.3256","$42.91M","2002","n/a","n/a","https://old.nasdaq.com/symbol/bqh",
"BSE","Blackrock New York Municipal Income Quality Trust","13.7999","$89.97M","2002","n/a","n/a","https://old.nasdaq.com/symbol/bse",
"BFY","BlackRock New York Municipal Income Trust II","14.935","$74.75M","2002","n/a","n/a","https://old.nasdaq.com/symbol/bfy",
"BCX","BlackRock Resources","7.99","$742.88M","2011","n/a","n/a","https://old.nasdaq.com/symbol/bcx",
"BST","BlackRock Science and Technology Trust","32.7","$734.83M","2014","n/a","n/a","https://old.nasdaq.com/symbol/bst",
"BSTZ","BlackRock Science and Technology Trust II","20.44","$1.43B","2019","n/a","n/a","https://old.nasdaq.com/symbol/bstz",
"BSD","BlackRock Strategic Municipal Trust Inc. (The)","14.09","$102.97M","1999","n/a","n/a","https://old.nasdaq.com/symbol/bsd",
"BUI","BlackRock Utility, Infrastructure & Power Opportun","22.46","$382.84M","2011","n/a","n/a","https://old.nasdaq.com/symbol/bui",
"BHV","BlackRock Virginia Municipal Bond Trust","16.2791","$26.15M","2002","n/a","n/a","https://old.nasdaq.com/symbol/bhv",
"BLK","BlackRock, Inc.","499.64","$77.54B","1999","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/blk",
"BGB","Blackstone / GSO Strategic Credit Fund","14.29","$638.25M","2012","n/a","n/a","https://old.nasdaq.com/symbol/bgb",
"BGX","Blackstone GSO Long Short Credit Income Fund","15.72","$199.69M","2011","n/a","n/a","https://old.nasdaq.com/symbol/bgx",
"BSL","Blackstone GSO Senior Floating Rate Term Fund","16.26","$248.4M","2010","n/a","n/a","https://old.nasdaq.com/symbol/bsl",
"BE","Bloom Energy Corporation","6.61","$780.03M","2018","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/be",
"APRN","Blue Apron Holdings, Inc.","7.67","$101.03M","2017","Consumer Services","Catalog/Specialty Distribution","https://old.nasdaq.com/symbol/aprn",
"BCRH","Blue Capital Reinsurance Holdings Ltd.","6.83","$59.93M","2013","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/bcrh",
"BXG","Bluegreen Vacations Corporation","10.3","$766.79M","2017","Finance","Real Estate","https://old.nasdaq.com/symbol/bxg",
"BXC","BlueLinx Holdings Inc.","13.25","$124.09M","2004","Capital Goods","Wholesale Distributors","https://old.nasdaq.com/symbol/bxc",
"DCF","BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund","9.21","$137.79M","2017","n/a","n/a","https://old.nasdaq.com/symbol/dcf",
"DHF","BNY Mellon High Yield Strategies Fund","3.12","$226.85M","1998","n/a","n/a","https://old.nasdaq.com/symbol/dhf",
"DMB","BNY Mellon Municipal Bond Infrastructure Fund, Inc","14.34","$263.6M","2013","n/a","n/a","https://old.nasdaq.com/symbol/dmb",
"DSM","BNY Mellon Strategic Municipal Bond Fund, Inc.","7.97","$393.47M","1989","n/a","n/a","https://old.nasdaq.com/symbol/dsm",
"LEO","BNY Mellon Strategic Municipals, Inc.","8.55","$531.77M","1987","n/a","n/a","https://old.nasdaq.com/symbol/leo",
"BA","Boeing Company (The)","333","$187.41B","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/ba",
"BCC","Boise Cascade, L.L.C.","37.7","$1.47B","2013","Consumer Services","RETAIL: Building Materials","https://old.nasdaq.com/symbol/bcc",
"BCEI","Bonanza Creek Energy, Inc.","23.39","$482.65M","2017","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/bcei",
"BOOT","Boot Barn Holdings, Inc.","44.53","$1.27B","2014","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/boot",
"BAH","Booz Allen Hamilton Holding Corporation","71.16","$9.99B","2010","Consumer Services","Professional Services","https://old.nasdaq.com/symbol/bah",
"BWA","BorgWarner Inc.","43.88","$9.06B","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/bwa",
"BORR","Borr Drilling Limited","8.55","$947.5M","2019","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/borr",
"SAM","Boston Beer Company, Inc. (The)","377.51","$4.54B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/sam",
"BXP","Boston Properties, Inc.","135.94","$21.02B","1997","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/bxp",
"BXP^B","Boston Properties, Inc.","25.65","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bxp^b",
"BSX","Boston Scientific Corporation","45.31","$63.15B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/bsx",
"BOX","Box, Inc.","17.24","$2.58B","2015","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/box",
"BYD","Boyd Gaming Corporation","30.41","$3.38B","1993","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/byd",
"BPMP","BP Midstream Partners LP","15.59","$1.63B","2017","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/bpmp",
"BP","BP p.l.c.","38.04","$128.42B","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/bp",
"BPT","BP Prudhoe Bay Royalty Trust","6.75","$144.45M","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/bpt",
